Race_ID,Race_Name,Driver_ID,Driver_Ref,Pit_Stop_Count,Pitted_On_Lap,Pit_Stop_Duration,Avg_Pit_Stop_Secs,Grid,Constructor_ID,Constructor_Nationality,Constructor_Name,Circuit_ID,Circuit_Name,Circuit_Country,Altitude_Metres,Race_Year,Status_ID,Race_Finish_Status,Fastest_Lap_Speed_KMH,Driver_Total_Points,Driver_Overall_Standing,Driver_Total_Wins,Avg_Lap_Time_Secs
1034,British Grand Prix,847,russell,1.0,12,29.302,29,20.0,3,British,Williams,9,Silverstone Circuit,UK,153,2020,1,Finished,233.404,0,19,0,102.0
908,British Grand Prix,817,ricciardo,1.0,15,28.483,28,8.0,9,Austrian,Red Bull,9,Silverstone Circuit,UK,153,2014,1,Finished,215.395,98,3,1,169.0
918,Abu Dhabi Grand Prix,18,button,2.0,28,22.042,22,6.0,1,British,McLaren,24,Yas Marina Circuit,UAE,3,2014,1,Finished,187.32,126,8,0,108.0
945,Abu Dhabi Grand Prix,154,grosjean,2.0,43,22.234,22,18.0,208,British,Lotus F1,24,Yas Marina Circuit,UAE,3,2015,1,Finished,188.877,51,11,0,108.0
1029,Brazilian Grand Prix,9,kubica,1.0,20,23.861,23,19.0,3,British,Williams,18,Aut+¦dromo Jos+® Carlos Pace,Brazil,785,2019,11,+1 Lap,208.072,1,19,0,79.0
982,Singapore Grand Prix,807,hulkenberg,5.0,28,30.005,30,7.0,4,French,Renault,15,Marina Bay Street Circuit,Singapore,18,2017,5,Engine,168.816,34,10,0,132.0
994,Monaco Grand Prix,840,stroll,3.0,59,24.852,24,17.0,3,British,Williams,6,Circuit de Monaco,Monaco,7,2018,12,+2 Laps,160.295,4,16,0,81.0
913,Singapore Grand Prix,822,bottas,2.0,23,28.88,28,8.0,3,British,Williams,15,Marina Bay Street Circuit,Singapore,18,2014,1,Finished,162.058,122,6,0,120.0
986,Mexican Grand Prix,828,ericsson,1.0,28,22.736,22,12.0,15,Swiss,Sauber,32,Aut+¦dromo Hermanos Rodr+¡guez,Mexico,2227,2017,5,Engine,189.682,0,20,0,84.0
903,Chinese Grand Prix,820,chilton,3.0,48,23.886,23,21.0,206,Russian,Marussia,17,Shanghai International Circuit,China,5,2014,12,+2 Laps,190.751,0,18,0,107.0
960,Belgian Grand Prix,1,hamilton,2.0,21,24.343,24,21.0,131,German,Mercedes,13,Circuit de Spa-Francorchamps,Belgium,401,2016,1,Finished,225.969,232,1,6,143.0
1038,Italian Grand Prix,817,ricciardo,1.0,22,25.498,25,7.0,4,French,Renault,14,Autodromo Nazionale di Monza,Italy,162,2020,1,Finished,248.573,41,10,0,120.0
1019,British Grand Prix,840,stroll,2.0,39,29.074,29,18.0,211,British,Racing Point,9,Silverstone Circuit,UK,153,2019,1,Finished,237.248,6,16,0,94.0
885,Monaco Grand Prix,813,maldonado,1.0,1,40.507,40,16.0,3,British,Williams,6,Circuit de Monaco,Monaco,7,2013,4,Collision,148.662,0,18,0,88.0
957,British Grand Prix,831,nasr,1.0,7,30.981,30,21.0,15,Swiss,Sauber,9,Silverstone Circuit,UK,153,2016,11,+1 Lap,214.847,0,22,0,112.0
884,Spanish Grand Prix,817,ricciardo,3.0,39,19.498,19,11.0,5,Italian,Toro Rosso,4,Circuit de Barcelona-Catalunya,Spain,109,2013,11,+1 Lap,190.252,7,12,0,91.0
963,Malaysian Grand Prix,815,perez,2.0,32,23.947,23,7.0,10,Indian,Force India,2,Sepang International Circuit,Malaysia,18,2016,1,Finished,200.898,74,8,0,104.0
1041,Eifel Grand Prix,1,hamilton,2.0,45,23.18,23,2.0,131,German,Mercedes,20,N++rburgring,Germany,578,2020,1,Finished,210.253,230,1,7,95.0
999,German Grand Prix,844,leclerc,1.0,20,19.267,19,9.0,15,Swiss,Sauber,10,Hockenheimring,Germany,103,2018,11,+1 Lap,211.509,13,15,0,84.0
1035,70th Anniversary Grand Prix,844,leclerc,1.0,18,29.419,29,8.0,6,Italian,Ferrari,9,Silverstone Circuit,UK,153,2020,1,Finished,234.203,45,4,0,91.0
984,Japanese Grand Prix,842,gasly,2.0,39,24.413,24,14.0,5,Italian,Toro Rosso,22,Suzuka Circuit,Japan,45,2017,11,+1 Lap,221.141,0,22,0,100.0
886,Canadian Grand Prix,819,pic,1.0,11,22.184,22,18.0,207,Malaysian,Caterham,7,Circuit Gilles Villeneuve,Canada,13,2013,13,+3 Laps,197.777,0,20,0,82.0
1055,Spanish Grand Prix,847,russell,2.0,28,21.919,21,15.0,3,British,Williams,4,Circuit de Barcelona-Catalunya,Spain,109,2021,11,+1 Lap,202.264,0,17,0,86.0
903,Chinese Grand Prix,826,kvyat,1.0,14,23.521,23,13.0,5,Italian,Toro Rosso,17,Shanghai International Circuit,China,5,2014,11,+1 Lap,189.899,4,14,0,105.0
960,Belgian Grand Prix,835,jolyon_palmer,1.0,6,22.698,22,13.0,4,French,Renault,13,Circuit de Spa-Francorchamps,Belgium,401,2016,1,Finished,222.641,0,20,0,144.0
931,Monaco Grand Prix,807,hulkenberg,2.0,31,24.758,24,11.0,10,Indian,Force India,6,Circuit de Monaco,Monaco,7,2015,1,Finished,150.313,6,13,0,83.0
